TIMESTAMP    TEMP  ARM_FREQ
973          35.0       600
974          35.0       600
975          35.0       600
976          35.0       600
977          35.0       600
978          35.0       600
979          35.0       600
980          35.0       600
981          35.0       600
982          36.0       600
983          36.0       600
984          35.0       600
985          35.0       600
986          35.0       600
987          34.0       600
988          35.0       600
989          35.0       600
990          35.0       600
991          35.0       600
992          35.0       600
993          35.0       600
994          35.0       600
995          35.0       600
996          35.0       600
997          35.0       600
998          36.0       600
999          35.0       600
1000         35.0       600
1001         35.0       600
1002         35.0       600
1003         35.0       600
1004         35.0       600
1005         35.0       600
1006         35.0       600
1007         35.0       600
1008         35.0       600
1009         35.0       600
1010         35.0       600
1011         35.0       600
1012         35.0       600
1013         36.0       600
1014         35.0       600
1015         36.0       600
1016         35.0       600
1017         36.0       600
1018         35.0       600
1019         35.0       600
1020         35.0       600
1021         39.0      1500
1022         40.0      1500
1023         41.0      1500
1024         42.0      1500
1025         43.0      1500
1026         44.0      1500
1027         44.0      1500
1028         44.0      1500
1029         45.0      1500
1030         45.0      1500
1031         45.0      1500
1032         45.0      1500
1033         46.0      1500
1034         45.0      1500
1035         47.0      1500
1036         46.0      1500
1037         45.0      1500
1038         46.0      1500
1039         48.0      1500
1040         47.0      1500
1041         47.0      1500
1042         47.0      1500
1043         47.0      1500
1044         47.0      1500
1045         48.0      1500
1046         48.0      1500
1047         49.0      1500
1048         49.0      1500
1049         49.0      1500
1050         48.0      1500
1051         49.0      1500
1052         48.0      1500
1053         48.0      1500
1054         49.0      1500
1055         50.0      1500
1056         49.0      1500
1057         49.0      1500
1058         50.0      1500
1059         49.0      1500
1060         50.0      1500
1061         50.0      1500
1062         50.0      1500
1063         51.0      1500
1064         49.0      1500
1065         50.0      1500
1066         50.0      1500
1067         51.0      1500
1068         50.0      1500
1069         51.0      1500
1070         51.0      1500
1071         51.0      1500
1072         51.0      1500
1073         51.0      1500
1074         50.0      1500
1075         51.0      1500
1076         51.0      1500
1077         51.0      1500
1078         51.0      1500
1079         52.0      1500
1080         51.0      1500
1081         52.0      1500
1082         52.0      1500
1083         52.0      1500
1084         50.0      1500
1085         50.0      1500
1086         51.0      1500
1087         51.0      1500
1088         52.0      1500
1089         51.0      1500
1090         52.0      1500
1091         52.0      1500
1092         50.0      1500
1093         52.0      1500
1094         52.0      1500
1095         52.0      1500
1096         52.0      1500
1097         52.0      1500
1098         51.0      1500
1099         52.0      1500
1100         52.0      1500
1101         52.0      1500
1102         54.0      1500
1103         51.0      1500
1104         53.0      1500
1105         52.0      1500
1106         52.0      1500
1107         52.0      1500
1108         53.0      1500
1109         53.0      1500
1110         53.0      1500
1111         52.0      1500
1112         52.0      1500
1113         52.0      1500
1114         53.0      1500
1115         52.0      1500
1116         52.0      1500
1117         52.0      1500
1118         52.0      1500
1119         52.0      1500
1120         52.0      1500
1121         52.0      1500
1122         54.0      1500
1123         53.0      1500
1124         53.0      1500
1125         52.0      1500
1126         53.0      1500
1127         53.0      1500
1128         53.0      1500
1129         52.0      1500
1130         53.0      1500
1131         52.0      1500
1132         54.0      1500
1133         53.0      1500
1134         53.0      1500
1135         53.0      1500
1136         53.0      1500
1137         53.0      1500
1138         52.0      1500
1139         52.0      1500
1140         53.0      1500
1141         54.0      1500
1142         53.0      1500
1143         53.0      1500
1144         53.0      1500
1145         53.0      1500
1146         54.0      1500
1147         53.0      1500
1148         53.0      1500
1149         53.0      1500
1150         54.0      1500
1151         54.0      1500
1152         53.0      1500
1153         53.0      1500
1154         53.0      1500
1155         52.0      1500
1156         53.0      1500
1157         54.0      1500
1158         52.0      1500
1159         53.0      1500
1160         53.0      1500
1161         53.0      1500
1162         54.0      1500
1163         54.0      1500
1164         53.0      1500
1165         53.0      1500
1166         54.0      1500
1167         53.0      1500
1168         54.0      1500
1169         53.0      1500
1170         53.0      1500
1171         54.0      1500
1172         54.0      1500
1173         53.0      1500
1174         54.0      1500
1175         54.0      1500
1176         54.0      1500
1177         53.0      1500
1178         54.0      1500
1179         54.0      1500
1180         53.0      1500
1181         54.0      1500
1182         54.0      1500
1183         54.0      1500
1184         54.0      1500
1185         54.0      1500
1186         54.0      1500
1187         54.0      1500
1188         54.0      1500
1189         54.0      1500
1190         54.0      1500
1191         54.0      1500
1192         54.0      1500
1193         54.0      1500
1194         55.0      1500
1195         55.0      1500
1196         54.0      1500
1197         54.0      1500
1198         55.0      1500
1199         55.0      1500
1200         55.0      1500
1201         54.0      1500
1202         55.0      1500
1203         55.0      1500
1204         55.0      1500
1205         54.0      1500
1206         54.0      1500
1207         54.0      1500
1208         54.0      1500
1209         55.0      1500
1210         54.0      1500
1211         55.0      1500
1212         55.0      1500
1213         55.0      1500
1214         54.0      1500
1215         55.0      1500
1216         54.0      1500
1217         54.0      1500
1218         54.0      1500
1219         56.0      1500
1220         55.0      1500
1221         55.0      1500
1222         55.0      1500
1223         55.0      1500
1224         55.0      1500
1225         55.0      1500
1226         55.0      1500
1227         55.0      1500
1228         54.0      1500
1229         55.0      1500
1230         55.0      1500
1231         55.0      1500
1232         55.0      1500
1233         55.0      1500
1234         55.0      1500
1235         55.0      1500
1236         54.0      1500
1237         54.0      1500
1238         55.0      1500
1239         55.0      1500
1240         55.0      1500
1241         56.0      1500
1242         55.0      1500
1243         55.0      1500
1244         54.0      1500
1245         54.0      1500
1246         56.0      1500
1247         55.0      1500
1248         56.0      1500
1249         55.0      1500
1250         55.0      1500
1251         55.0      1500
1252         55.0      1500
1253         56.0      1500
1254         56.0      1500
1255         56.0      1500
1256         56.0      1500
1257         56.0      1500
1258         56.0      1500
1259         55.0      1500
1260         56.0      1500
1261         56.0      1500
1262         56.0      1500
1263         56.0      1500
1264         56.0      1500
1265         55.0      1500
1266         56.0      1500
1267         55.0      1500
1268         55.0      1500
1269         55.0      1500
1270         56.0      1500
1271         55.0      1500
1272         55.0      1500
1273         56.0      1500
1274         56.0      1500
1275         54.0      1500
1276         56.0      1500
1277         55.0      1500
1278         55.0      1500
1279         55.0      1500
1280         56.0      1500
1281         57.0      1500
1282         55.0      1500
1283         55.0      1500
1284         56.0      1500
1285         57.0      1500
1286         55.0      1500
1287         55.0      1500
1288         56.0      1500
1289         57.0      1500
1290         55.0      1500
1291         55.0      1500
1292         56.0      1500
1293         56.0      1500
1294         56.0      1500
1295         56.0      1500
1296         56.0      1500
1297         56.0      1500
1298         56.0      1500
1299         56.0      1500
1300         56.0      1500
1301         56.0      1500
1302         56.0      1500
1303         56.0      1500
1304         55.0      1500
1305         56.0      1500
1306         56.0      1500
1307         55.0      1500
1308         55.0      1500
1309         57.0      1500
1310         56.0      1500
1311         56.0      1500
1312         55.0      1500
1313         56.0      1500
1314         55.0      1500
1315         56.0      1500
1316         57.0      1500
1317         56.0      1500
1318         56.0      1500
1319         56.0      1500
1320         56.0      1500
1321         54.0      1500
1322         52.0       600
1323         50.0       600
1324         48.0       600
1325         49.0       600
1326         48.0       600
1327         48.0       600
1328         47.0       600
1329         47.0       600
1330         46.0       600
1331         47.0       600
1332         46.0       600
1333         45.0       600
1334         45.0       600
1335         45.0       600
1336         44.0       600
1337         44.0       600
1338         44.0       600
1339         44.0       600
1340         44.0       600
1341         44.0       600
1342         43.0       600
1343         44.0       600
1344         42.0       600
1345         42.0       600
1346         42.0       600
1347         42.0       600
1348         41.0       600
1349         42.0       600
1350         41.0       600
1351         41.0       600
1352         42.0       600
1353         41.0       600
1354         41.0       600
1355         42.0       600
1356         41.0       600
1357         42.0       600
1358         41.0       600
1359         41.0       600
1360         41.0       600
1361         41.0       600
1362         40.0       600
